Input,Output,model,dataset
169,14,google/flan-t5-base,sciq
110,1,google/flan-t5-base,sciq
56,1,google/flan-t5-base,sciq
89,1,google/flan-t5-base,sciq
124,1,google/flan-t5-base,sciq
89,14,google/flan-t5-base,sciq
53,1,google/flan-t5-base,sciq
164,2,google/flan-t5-base,sciq
62,1,google/flan-t5-base,sciq
264,7,google/flan-t5-base,sciq
93,1,google/flan-t5-base,sciq
80,1,google/flan-t5-base,sciq
206,1,google/flan-t5-base,sciq
123,15,google/flan-t5-base,sciq
77,1,google/flan-t5-base,sciq
63,1,google/flan-t5-base,sciq
196,1,google/flan-t5-base,sciq
84,1,google/flan-t5-base,sciq
81,7,google/flan-t5-base,sciq
87,1,google/flan-t5-base,sciq
128,15,google/flan-t5-base,sciq
72,1,google/flan-t5-base,sciq
73,1,google/flan-t5-base,sciq
110,1,google/flan-t5-base,sciq
108,1,google/flan-t5-base,sciq
76,1,google/flan-t5-base,sciq
94,9,google/flan-t5-base,sciq
129,1,google/flan-t5-base,sciq
166,5,google/flan-t5-base,sciq
182,1,google/flan-t5-base,sciq
95,12,google/flan-t5-base,sciq
136,1,google/flan-t5-base,sciq
105,1,google/flan-t5-base,sciq
135,11,google/flan-t5-base,sciq
65,1,google/flan-t5-base,sciq
105,1,google/flan-t5-base,sciq
40,1,google/flan-t5-base,sciq
124,2,google/flan-t5-base,sciq
72,1,google/flan-t5-base,sciq
88,6,google/flan-t5-base,sciq
159,3,google/flan-t5-base,sciq
107,1,google/flan-t5-base,sciq
121,1,google/flan-t5-base,sciq
106,1,google/flan-t5-base,sciq
200,1,google/flan-t5-base,sciq
79,1,google/flan-t5-base,sciq
143,1,google/flan-t5-base,sciq
74,1,google/flan-t5-base,sciq
209,1,google/flan-t5-base,sciq
67,1,google/flan-t5-base,sciq
130,1,google/flan-t5-base,sciq
79,1,google/flan-t5-base,sciq
92,1,google/flan-t5-base,sciq
102,1,google/flan-t5-base,sciq
118,1,google/flan-t5-base,sciq
71,1,google/flan-t5-base,sciq
99,1,google/flan-t5-base,sciq
107,1,google/flan-t5-base,sciq
123,1,google/flan-t5-base,sciq
75,3,google/flan-t5-base,sciq
86,1,google/flan-t5-base,sciq
153,1,google/flan-t5-base,sciq
206,1,google/flan-t5-base,sciq
128,1,google/flan-t5-base,sciq
91,1,google/flan-t5-base,sciq
142,1,google/flan-t5-base,sciq
78,1,google/flan-t5-base,sciq
40,1,google/flan-t5-base,sciq
121,10,google/flan-t5-base,sciq
93,1,google/flan-t5-base,sciq
62,1,google/flan-t5-base,sciq
111,1,google/flan-t5-base,sciq
64,1,google/flan-t5-base,sciq
157,1,google/flan-t5-base,sciq
48,1,google/flan-t5-base,sciq
89,1,google/flan-t5-base,sciq
96,1,google/flan-t5-base,sciq
129,1,google/flan-t5-base,sciq
178,1,google/flan-t5-base,sciq
76,1,google/flan-t5-base,sciq
211,1,google/flan-t5-base,sciq
120,1,google/flan-t5-base,sciq
110,1,google/flan-t5-base,sciq
196,4,google/flan-t5-base,sciq
116,1,google/flan-t5-base,sciq
43,1,google/flan-t5-base,sciq
135,1,google/flan-t5-base,sciq
154,1,google/flan-t5-base,sciq
106,1,google/flan-t5-base,sciq
71,1,google/flan-t5-base,sciq
73,1,google/flan-t5-base,sciq
80,1,google/flan-t5-base,sciq
79,1,google/flan-t5-base,sciq
166,1,google/flan-t5-base,sciq
258,1,google/flan-t5-base,sciq
95,1,google/flan-t5-base,sciq
124,11,google/flan-t5-base,sciq
92,1,google/flan-t5-base,sciq
105,1,google/flan-t5-base,sciq
87,1,google/flan-t5-base,sciq
86,1,google/flan-t5-base,sciq
48,1,google/flan-t5-base,sciq
198,1,google/flan-t5-base,sciq
214,10,google/flan-t5-base,sciq
83,1,google/flan-t5-base,sciq
173,1,google/flan-t5-base,sciq
99,1,google/flan-t5-base,sciq
177,1,google/flan-t5-base,sciq
84,1,google/flan-t5-base,sciq
85,1,google/flan-t5-base,sciq
142,1,google/flan-t5-base,sciq
111,1,google/flan-t5-base,sciq
257,1,google/flan-t5-base,sciq
147,1,google/flan-t5-base,sciq
121,1,google/flan-t5-base,sciq
175,1,google/flan-t5-base,sciq
84,1,google/flan-t5-base,sciq
152,1,google/flan-t5-base,sciq
441,1,google/flan-t5-base,sciq
122,1,google/flan-t5-base,sciq
70,3,google/flan-t5-base,sciq
100,3,google/flan-t5-base,sciq
136,1,google/flan-t5-base,sciq
78,1,google/flan-t5-base,sciq
89,1,google/flan-t5-base,sciq
161,16,google/flan-t5-base,sciq
111,1,google/flan-t5-base,sciq
76,1,google/flan-t5-base,sciq
126,10,google/flan-t5-base,sciq
149,1,google/flan-t5-base,sciq
92,1,google/flan-t5-base,sciq
77,2,google/flan-t5-base,sciq
129,6,google/flan-t5-base,sciq
80,1,google/flan-t5-base,sciq
129,1,google/flan-t5-base,sciq
68,1,google/flan-t5-base,sciq
65,1,google/flan-t5-base,sciq
70,1,google/flan-t5-base,sciq
79,1,google/flan-t5-base,sciq
112,1,google/flan-t5-base,sciq
106,1,google/flan-t5-base,sciq
198,1,google/flan-t5-base,sciq
133,1,google/flan-t5-base,sciq
138,1,google/flan-t5-base,sciq
96,1,google/flan-t5-base,sciq
141,1,google/flan-t5-base,sciq
53,1,google/flan-t5-base,sciq
107,2,google/flan-t5-base,sciq
86,11,google/flan-t5-base,sciq
61,1,google/flan-t5-base,sciq
175,1,google/flan-t5-base,sciq
42,1,google/flan-t5-base,sciq
64,1,google/flan-t5-base,sciq
73,1,google/flan-t5-base,sciq
146,2,google/flan-t5-base,sciq
67,1,google/flan-t5-base,sciq
296,1,google/flan-t5-base,sciq
81,1,google/flan-t5-base,sciq
100,8,google/flan-t5-base,sciq
108,1,google/flan-t5-base,sciq
117,7,google/flan-t5-base,sciq
154,1,google/flan-t5-base,sciq
148,1,google/flan-t5-base,sciq
185,1,google/flan-t5-base,sciq
74,1,google/flan-t5-base,sciq
209,1,google/flan-t5-base,sciq
93,1,google/flan-t5-base,sciq
82,1,google/flan-t5-base,sciq
120,1,google/flan-t5-base,sciq
68,1,google/flan-t5-base,sciq
97,1,google/flan-t5-base,sciq
80,1,google/flan-t5-base,sciq
57,1,google/flan-t5-base,sciq
105,1,google/flan-t5-base,sciq
83,1,google/flan-t5-base,sciq
146,1,google/flan-t5-base,sciq
79,1,google/flan-t5-base,sciq
162,1,google/flan-t5-base,sciq
127,1,google/flan-t5-base,sciq
103,1,google/flan-t5-base,sciq
135,12,google/flan-t5-base,sciq
115,1,google/flan-t5-base,sciq
197,1,google/flan-t5-base,sciq
98,1,google/flan-t5-base,sciq
110,1,google/flan-t5-base,sciq
72,1,google/flan-t5-base,sciq
56,1,google/flan-t5-base,sciq
74,1,google/flan-t5-base,sciq
98,1,google/flan-t5-base,sciq
39,1,google/flan-t5-base,sciq
88,1,google/flan-t5-base,sciq
77,1,google/flan-t5-base,sciq
303,1,google/flan-t5-base,sciq
88,1,google/flan-t5-base,sciq
156,1,google/flan-t5-base,sciq
132,1,google/flan-t5-base,sciq
